Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_Points,Away_Points,Goal_Diff,Home_Possession_Est,Away_Possession_Est,Home_Market_Wisdom,Away_Market_Wisdom,Home_xG_Avg_L5,Home_Streak_L5,Home_Pressure_Avg_L5,Home_Goal_Diff_L5,Home_Rest_Days,Home_Field_Tilt_L5,Home_Dominance_Avg_L5,Home_PDO_L5,Home_PPDA_Proxy_L5,Away_xG_Avg_L5,Away_Streak_L5,Away_Pressure_Avg_L5,Away_Goal_Diff_L5,Away_Rest_Days,Away_Field_Tilt_L5,Away_Dominance_Avg_L5,Away_PDO_L5,Away_PPDA_Proxy_L5,Home_H2H_L3,Away_H2H_L3,Home_FIFA_Ova,Home_FIFA_Att,Home_FIFA_Mid,Home_FIFA_Def,Home_Market_Value,Away_FIFA_Ova,Away_FIFA_Att,Away_FIFA_Mid,Away_FIFA_Def,Away_Market_Value,Diff_FIFA_Ova,Diff_FIFA_Att,Diff_FIFA_Mid,Diff_FIFA_Def,Log_Value_Diff,Home_Elo,Away_Elo,Home_Att_Strength,Away_Att_Strength,Home_Def_Weakness,Away_Def_Weakness,Home_Elo_Calc,Away_Elo_Calc,Elo_Diff
SP1,2025-08-27,Celta,Betis,1,1,D,14,7,5,2,13,11,10,4,1,2,0,0,2.2,3.4,3.25,1,1,0,0.5,0.5,0.45454545454545453,0.3076923076923077,1.5799999999999998,1.0,33.0,-2.0,4.0,0.5252525078393366,0.6607142857142857,0.7916666666666667,0.8108552631578947,2.565,4.0,26.0,1.0,5.0,0.6497325957419439,0.7321428571428572,0.975,0.7333333333333334,1.5,1.5,76,76,76,76,146.4,79,79,79,79,219.8,-3,-3,-3,-3,-0.404107334647704,1485.0,1515.2638005891567,0.98990004,1.0,1.01000099,0.989799,1485.0,1515.2638005891567,-30.263800589156745
SP1,2025-08-29,Elche,Levante,2,0,H,16,11,5,1,14,17,4,2,1,2,0,0,2.15,3.25,3.5,3,0,2,0.5,0.5,0.46511627906976744,0.2857142857142857,1.12,2.0,24.0,0.0,6.0,0.2881231557616898,0.20833333333333331,1.2916666666666667,1.5454545454545454,1.835,0.0,27.0,-2.0,6.0,0.21010100445260704,0.045454545454545456,0.9666666666666667,2.1547619047619047,1.5,1.5,75,75,75,75,101.1,75,75,75,75,87.9,0,0,0,0,0.13844058265076065,1499.7361994108433,1471.2200460928088,0.999899,1.009999,1.0,1.03009196,1499.7361994108433,1471.2200460928088,28.516153318034412
SP1,2025-08-29,Valencia,Getafe,3,0,H,7,11,4,1,18,7,8,6,2,0,0,0,2.3,2.9,3.6,3,0,3,0.5,0.5,0.4347826086956522,0.2777777777777778,1.4249999999999998,1.0,21.0,-1.0,5.0,0.43075683216968663,0.5523809523809524,0.9583333333333334,2.022321428571429,2.1599999999999997,6.0,45.0,3.0,4.0,0.4038662355906928,0.3125,1.3333333333333333,0.8148148148148149,1.5,1.5,75,75,75,75,160.0,76,76,76,76,68.6,-1,-1,-1,-1,0.8386397976440891,1484.7361994108433,1537.1838538953643,0.99,1.01989196,1.000099,0.99000101,1484.7361994108433,1537.1838538953643,-52.44765448452108
SP1,2025-08-30,Alaves,Ath Madrid,1,1,D,5,15,2,6,10,17,1,6,2,3,0,0,4.75,3.5,1.8,1,1,0,0.5,0.5,0.21052631578947367,0.5555555555555556,2.4749999999999996,3.0,35.0,0.0,8.0,0.5699643322748567,0.5974025974025974,0.9833333333333334,0.75,2.71,1.0,28.0,-1.0,7.0,0.6813125468534444,0.7916666666666667,0.7583333333333333,0.6333333333333333,1.5,1.5,71,71,71,71,69.5,83,83,83,83,563.0,-12,-12,-12,-12,-2.079441541679836,1499.7361994108433,1485.2638005891567,0.9999,1.0,1.0,1.0099,1499.7361994108433,1485.2638005891567,14.472398821686511
SP1,2025-08-30,Oviedo,Sociedad,1,0,H,8,18,1,6,7,18,1,10,2,1,0,0,3.5,3.1,2.25,3,0,1,0.5,0.5,0.2857142857142857,0.4444444444444444,1.5099999999999998,0.0,21.0,-5.0,6.0,0.15650406127187153,0.09545454545454546,0.75,3.049242424242424,2.71,2.0,31.0,0.0,6.0,0.49516906968365687,0.5904761904761905,0.7261904761904762,1.349624060150376,1.5,1.5,73,73,73,73,65.0,79,79,79,79,246.7,-6,-6,-6,-6,-1.322563594468889,1470.8732940056052,1500.2638005891567,0.98029701,1.01,1.0299,1.009999,1470.8732940056052,1500.2638005891567,-29.39050658355154
SP1,2025-08-30,Girona,Sevilla,0,2,A,20,13,5,4,5,14,11,3,0,2,0,0,2.4,3.3,3.0,0,3,-2,0.5,0.5,0.4166666666666667,0.3333333333333333,1.1199999999999999,0.0,20.0,-7.0,6.0,0.2460814965966008,0.2222222222222222,0.5928571428571429,2.125,2.385,0.0,26.0,-2.0,5.0,0.46877910909653153,0.35795454545454547,0.6666666666666666,1.2615384615384615,1.5,1.5,76,76,76,76,146.5,80,80,80,80,131.6,-4,-4,-4,-4,0.10649109802811285,1471.1625575997562,1471.2200460928088,0.990199,1.01000099,1.0600949800000001,1.02979498,1471.1625575997562,1471.2200460928088,-0.05748849305268777
SP1,2025-08-30,Real Madrid,Mallorca,2,1,H,17,9,7,5,12,7,4,5,2,0,0,0,1.18,7.0,15.0,3,0,1,0.5,0.5,0.8474576271186441,0.06666666666666667,4.155,6.0,19.0,4.0,6.0,0.8796296025622192,0.95,1.25,0.4722222222222222,1.445,1.0,29.0,-3.0,7.0,0.3723723595276963,0.38095238095238093,0.6875,1.375,1.5,1.5,85,85,85,85,1350.0,75,75,75,75,80.6,10,10,10,10,2.806771075990138,1529.1267059943948,1476.5961000118268,1.020099,0.99000101,0.98029701,1.0199029800000001,1529.1267059943948,1476.5961000118268,52.53060598256798
SP1,2025-08-31,Celta,Villarreal,1,1,D,10,8,2,3,11,8,1,5,1,1,0,0,2.75,3.5,2.5,1,1,0,0.5,0.5,0.36363636363636365,0.4,1.9566666666666663,2.0,31.333333333333332,-2.0,4.0,0.5787397606003744,0.6785714285714285,0.7611111111111111,0.7850146198830409,4.445,6.0,20.0,7.0,7.0,0.8359201545764285,0.898989898989899,1.4571428571428573,0.55,1.5,1.5,76,76,76,76,146.4,79,79,79,79,263.8,-3,-3,-3,-3,-0.5858248443076173,1482.0290368469086,1520.4335424120707,0.9900999589122097,1.05049196,1.0099009801,0.9801,1482.0290368469086,1520.4335424120707,-38.404505565162026
SP1,2025-08-31,Betis,Ath Bilbao,1,2,A,9,15,2,6,9,16,4,10,1,4,0,1,3.0,3.1,2.55,0,3,-1,0.5,0.5,0.3333333333333333,0.3921568627450981,2.1133333333333333,5.0,26.0,1.0,4.0,0.5379169655966701,0.5833333333333334,1.0833333333333333,1.0603174603174603,2.1399999999999997,6.0,21.0,2.0,6.0,0.5935550744345424,0.6212121212121212,1.4583333333333335,1.1507936507936507,1.5,1.5,79,79,79,79,219.8,79,79,79,79,303.0,0,0,0,0,-0.319770387003282,1518.234763742248,1521.932668512236,0.9998989899019902,1.0198,0.9899989393201984,0.99949196,1518.234763742248,1521.932668512236,-3.697904769987872
SP1,2025-08-31,Espanol,Osasuna,1,0,H,10,10,4,3,13,14,2,3,2,3,0,0,2.38,3.2,3.1,3,0,1,0.5,0.5,0.42016806722689076,0.3225806451612903,2.2399999999999998,4.0,37.0,1.0,7.0,0.41187738192334267,0.26785714285714285,1.2654761904761904,0.9761904761904762,1.39,3.0,29.0,0.0,7.0,0.3888888744855972,0.21428571428571427,1.025,1.1281512605042017,1.5,1.5,75,75,75,75,102.7,77,77,77,77,88.5,-2,-2,-2,-2,0.1472634899546721,1514.7361994108433,1500.2638005891567,1.0199,0.9901,1.01,0.99,1514.7361994108433,1500.2638005891567,14.472398821686511
