Season,Date,HomeTeam,AwayTeam,Bet_Type,Odds,P_Model,EV,Won,Flat_Stake,Flat_Profit,Kelly_Stake,Kelly_Profit,Flat_BK,Kelly_BK
2012,2012-10-20,Malaga,Valladolid,1,1.53,0.7576173123777163,0.1591544879379061,True,10.0,5.300000000000001,55.82691263096785,29.58826369441296,1039.8,1146.1265163137698
2012,2012-10-28,Levante,Granada,1,2.0,0.5286107834050192,0.05722156681003843,True,10.0,10.0,16.395788756501243,16.395788756501243,1049.8,1162.5223050702712
2012,2012-11-03,Valencia,Ath Madrid,1,2.4,0.5414625491694028,0.2995101180065667,True,10.0,14.0,58.12611525351355,81.37656135491896,1063.8,1243.8988664251901
2012,2012-11-10,Malaga,Sociedad,1,1.53,0.7175789403677424,0.09789577876264577,False,10.0,-10.0,57.43983407106898,-57.43983407106898,1053.8,1186.459032354121
2012,2012-11-10,Vallecano,Celta,1,2.38,0.45050736208837466,0.07220752177033174,True,10.0,13.799999999999999,15.520156958028426,21.417816602079228,1067.6,1207.8768489562003
2012,2012-11-11,Ath Bilbao,Sevilla,1,2.38,0.4997495506304705,0.18940393050051973,True,10.0,13.799999999999999,41.44504035378386,57.19415568822172,1081.4,1265.071004644422
2012,2012-11-17,Valencia,Espanol,1,1.5,0.7041275889042491,0.056191383356373636,True,10.0,5.0,35.54304489750372,17.77152244875186,1086.4,1282.8425270931739
2012,2012-11-18,Getafe,Valladolid,1,2.0,0.6198630724537034,0.23972614490740685,True,10.0,10.0,66.29088758753976,66.29088758753976,1096.4,1349.1334146807135
2012,2012-11-18,Sevilla,Betis,1,1.67,0.6794426712174291,0.1346692609331066,True,10.0,6.699999999999999,64.1421263546587,42.975224657621325,1103.1,1392.1086393383348
2012,2012-11-24,Malaga,Valencia,1,2.1,0.5515422873697163,0.1582388034764044,True,10.0,11.0,50.064910317741706,55.07140134951588,1114.1,1447.1800406878508
2012,2012-11-25,Espanol,Getafe,1,2.1,0.5800400283006558,0.21808405943137732,False,10.0,-10.0,71.72884045483461,-71.72884045483461,1104.1,1375.4512002330162
2012,2012-12-01,Real Madrid,Ath Madrid,1,1.44,0.7688813018838897,0.10718907471280104,True,10.0,4.3999999999999995,68.77256001165081,30.259926405126354,1108.5,1405.7111266381426
2012,2012-12-01,Valencia,Sociedad,1,1.6,0.6675485715492124,0.06807771447873989,False,10.0,-10.0,39.87400029952468,-39.87400029952468,1098.5,1365.837126338618
2012,2012-12-15,Mallorca,Ath Bilbao,1,2.4,0.4769723592087664,0.14473366210103933,False,10.0,-10.0,35.30046591581216,-35.30046591581216,1088.5,1330.5366604228057
2012,2012-12-15,Sevilla,Malaga,1,2.1,0.6587250884208944,0.3833226856838783,False,10.0,-10.0,66.52683302114029,-66.52683302114029,1078.5,1264.0098274016655
2012,2012-12-15,Granada,Sociedad,1,2.4,0.46676806129475756,0.12024334710741802,False,10.0,-10.0,27.140852218472507,-27.140852218472507,1068.5,1236.868975183193
2012,2012-12-17,La Coruna,Valladolid,1,2.2,0.5000734049834037,0.10016149096348825,False,10.0,-10.0,25.809716808506323,-25.809716808506323,1058.5,1211.0592583746866
2012,2012-12-20,Vallecano,Levante,1,2.25,0.4747587483385863,0.06820718376181922,True,10.0,12.5,16.520588276482957,20.650735345603696,1071.0,1231.7099937202902
2012,2013-01-04,Zaragoza,Betis,1,2.2,0.4950544732942532,0.08911984124735706,False,10.0,-10.0,22.86870814648655,-22.86870814648655,1061.0,1208.8412855738038
2012,2013-01-12,Espanol,Celta,1,2.25,0.5017796802990767,0.12900428067292258,True,10.0,12.5,31.189140098635914,38.98642512329489,1073.5,1247.8277106970986
2012,2013-01-12,Valencia,Sevilla,1,2.1,0.6229477968969048,0.3081903734835001,True,10.0,11.0,62.39138553485495,68.63052408834045,1084.5,1316.4582347854391
2012,2013-01-18,Espanol,Mallorca,1,2.0,0.530142392918869,0.060284785837738,True,10.0,10.0,19.840600687091705,19.840600687091705,1094.5,1336.2988354725308
2012,2013-01-19,Granada,Vallecano,1,2.15,0.4968298726202221,0.06818422613347752,True,10.0,11.5,19.807500430382987,22.778625494940435,1106.0,1359.0774609674713
