window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_4,0.05,solo_X[3.50-4.50),1.2,no,0.0542,125,4,8,1067.7
sliding_3,0.06,base+X[3.50-4.50),1.2,no,0.0542,353,5,8,1191.5
sliding_4,0.03,solo_X[3.50-4.50),none,si,0.0538,157,4,8,1084.5
expanding,0.06,base,1.2,no,0.0537,270,5,8,1144.9
sliding_9,0.06,base,1.2,no,0.0537,270,5,8,1144.9
sliding_3,0.05,base+X[3.70-4.50),none,no,0.0537,451,5,8,1242.0
sliding_5,0.07,base+X[3.70-4.50),1.2,si,0.0536,218,4,8,1116.9
sliding_3,0.03,base,1.25,no,0.0535,354,6,8,1189.5
expanding,0.1,base+X[3.70-4.50),1.2,no,0.0534,203,4,8,1108.4
sliding_5,0.05,base+X[3.70-4.50),1.15,si,0.0534,209,4,8,1111.6
sliding_4,0.06,solo_X[3.50-4.50),1.2,si,0.0534,114,5,8,1060.9
sliding_9,0.1,base+X[3.70-4.50),1.2,no,0.0534,203,4,8,1108.4
sliding_5,0.07,base,none,si,0.0532,232,5,8,1123.4
sliding_3,0.1,base+X[3.70-4.50),1.2,no,0.0532,181,5,8,1096.3
sliding_3,0.06,base,1.15,si,0.0531,152,5,8,1080.7
sliding_3,0.06,base+X[3.70-4.50),1.25,si,0.053,240,5,8,1127.1
sliding_4,0.05,solo_X[3.50-4.50),none,si,0.0529,137,5,8,1072.5
sliding_3,0.05,base+X[3.50-4.50),1.25,no,0.0522,439,5,8,1229.1
sliding_3,0.05,solo_X[3.50-4.50),1.15,no,0.052,108,5,8,1056.2
sliding_5,0.06,base+X[3.70-4.50),1.2,no,0.0519,332,5,8,1172.3
sliding_9,0.04,base,1.2,si,0.0518,271,5,8,1140.5
expanding,0.04,base,1.2,si,0.0518,271,5,8,1140.5
sliding_7,0.1,base+X[3.70-4.50),1.2,no,0.0517,209,4,8,1108.0
sliding_4,0.03,solo_X[3.50-4.50),1.2,si,0.0516,138,4,8,1071.2
sliding_4,0.05,solo_X[3.50-4.50),none,no,0.0514,148,5,8,1076.0
sliding_3,0.04,base+X[3.50-4.50),1.15,si,0.0513,294,4,8,1150.7
sliding_5,0.1,base+X[3.50-4.50),1.2,no,0.0513,217,5,8,1111.3
sliding_3,0.04,base+X[3.70-4.50),1.25,si,0.0512,262,5,8,1134.2
sliding_3,0.1,base+X[3.70-4.50),1.25,si,0.0507,166,4,8,1084.2
sliding_3,0.06,base+X[3.70-4.50),1.15,si,0.0503,205,4,8,1103.1
sliding_3,0.03,base,1.2,si,0.05,235,5,8,1117.5
sliding_3,0.1,base+X[3.50-4.50),1.15,si,0.0498,123,3,8,1061.2
sliding_3,0.05,base+X[3.70-4.50),1.25,si,0.0496,276,5,8,1137.0
sliding_3,0.06,base+X[3.50-4.50),1.25,no,0.0492,402,5,8,1197.7
sliding_9,0.1,base,1.25,si,0.0491,191,4,8,1093.7
expanding,0.1,base,1.25,si,0.0491,191,4,8,1093.7
sliding_5,0.05,base,none,si,0.049,260,4,8,1127.5
sliding_5,0.06,base,1.25,no,0.0487,308,5,8,1150.0
sliding_7,0.05,base,1.15,si,0.0483,189,5,8,1091.3
sliding_3,0.04,solo_X[3.50-4.50),1.15,no,0.0482,130,5,8,1062.7
sliding_9,0.1,base,1.25,no,0.0475,228,4,8,1108.3
expanding,0.1,base,1.25,no,0.0475,228,4,8,1108.3
expanding,0.04,base,1.2,no,0.0468,330,5,8,1154.6
sliding_9,0.04,base,1.2,no,0.0468,330,5,8,1154.6
sliding_5,0.05,base+X[3.70-4.50),1.2,no,0.0465,362,5,8,1168.3
sliding_5,0.06,base+X[3.70-4.50),1.25,si,0.0462,237,4,8,1109.6
sliding_3,0.07,base+X[3.50-4.50),1.2,no,0.046,316,5,8,1145.3
sliding_7,0.07,base,1.2,si,0.0458,194,4,8,1088.9
